,Lat,Lon,sst_Summer
591,-88.5,51.5,-1.7999996
592,-88.5,52.5,-1.7999996
593,-88.5,53.5,-1.7999996
594,-88.5,54.5,-1.7999996
595,-88.5,55.5,-1.7999996
596,-88.5,56.5,-1.7999996
597,-88.5,57.5,-1.7999996
598,-88.5,58.5,-1.7999996
599,-88.5,59.5,-1.7999996
600,-88.5,60.5,-1.7999996
601,-88.5,61.5,-1.7999996
602,-88.5,62.5,-1.7999996
603,-88.5,63.5,-1.7999996
604,-88.5,64.5,-1.7999996
605,-88.5,65.5,-1.7999996
606,-88.5,66.5,-1.7999996
607,-88.5,67.5,-1.7999996
608,-88.5,68.5,-1.7999996
609,-88.5,69.5,-1.7999996
610,-88.5,70.5,-1.7999996
611,-88.5,71.5,-1.7999996
612,-88.5,72.5,-1.7999996
613,-88.5,73.5,-1.7999996
614,-88.5,74.5,-1.7999996
615,-88.5,75.5,-1.7999996
616,-88.5,76.5,-1.7999996
617,-88.5,77.5,-1.7999996
618,-88.5,78.5,-1.7999996
619,-88.5,79.5,-1.7999996
620,-88.5,80.5,-1.7999996
621,-88.5,81.5,-1.7999996
622,-88.5,82.5,-1.7999996
623,-88.5,83.5,-1.7999996
624,-88.5,84.5,-1.7999996
625,-88.5,85.5,-1.7999996
626,-88.5,86.5,-1.7999996
627,-88.5,87.5,-1.7999996
628,-88.5,88.5,-1.7999996
629,-88.5,89.5,-1.7999996
630,-88.5,90.5,-1.7999996
631,-88.5,91.5,-1.7999996
632,-88.5,92.5,-1.7999996
633,-88.5,93.5,-1.7999996
634,-88.5,94.5,-1.7999996
635,-88.5,95.5,-1.7999996
636,-88.5,96.5,-1.7999996
637,-88.5,97.5,-1.7999996
638,-88.5,98.5,-1.7999996
639,-88.5,99.5,-1.7999996
640,-88.5,100.5,-1.7999996
641,-88.5,101.5,-1.7999996
642,-88.5,102.5,-1.7999996
643,-88.5,103.5,-1.7999996
644,-88.5,104.5,-1.7999996
645,-88.5,105.5,-1.7999996
646,-88.5,106.5,-1.7999996
647,-88.5,107.5,-1.7999996
648,-88.5,108.5,-1.7999996
649,-88.5,109.5,-1.7999996
650,-88.5,110.5,-1.7999996
651,-88.5,111.5,-1.7999996
652,-88.5,112.5,-1.7999996
653,-88.5,113.5,-1.7999996
654,-88.5,114.5,-1.7999996
655,-88.5,115.5,-1.7999996
656,-88.5,116.5,-1.7999996
657,-88.5,117.5,-1.7999996
658,-88.5,118.5,-1.7999996
659,-88.5,119.5,-1.7999996
660,-88.5,120.5,-1.7999996
661,-88.5,121.5,-1.7999996
662,-88.5,122.5,-1.7999996
663,-88.5,123.5,-1.7999996
664,-88.5,124.5,-1.7999996
665,-88.5,125.5,-1.7999996
666,-88.5,126.5,-1.7999996
667,-88.5,127.5,-1.7999996
668,-88.5,128.5,-1.7999996
669,-88.5,129.5,-1.7999996
670,-88.5,130.5,-1.7999996
671,-88.5,131.5,-1.7999996
672,-88.5,132.5,-1.7999996
673,-88.5,133.5,-1.7999996
674,-88.5,134.5,-1.7999996
675,-88.5,135.5,-1.7999996
676,-88.5,136.5,-1.7999996
677,-88.5,137.5,-1.7999996
678,-88.5,138.5,-1.7999996
679,-88.5,139.5,-1.7999996
680,-88.5,140.5,-1.7999996
681,-88.5,141.5,-1.7999996
682,-88.5,142.5,-1.7999996
683,-88.5,143.5,-1.7999996
684,-88.5,144.5,-1.7999996
685,-88.5,145.5,-1.7999996
686,-88.5,146.5,-1.7999996
687,-88.5,147.5,-1.7999996
688,-88.5,148.5,-1.7999996
689,-88.5,149.5,-1.7999996
690,-88.5,150.5,-1.7999996
691,-88.5,151.5,-1.7999996
692,-88.5,152.5,-1.7999996
693,-88.5,153.5,-1.7999996
694,-88.5,154.5,-1.7999996
695,-88.5,155.5,-1.7999996
696,-88.5,156.5,-1.7999996
697,-88.5,157.5,-1.7999996
698,-88.5,158.5,-1.7999996
699,-88.5,159.5,-1.7999996
700,-88.5,160.5,-1.7999996
701,-88.5,161.5,-1.7999996
702,-88.5,162.5,-1.7999996
703,-88.5,163.5,-1.7999996
704,-88.5,164.5,-1.7999996
705,-88.5,165.5,-1.7999996
706,-88.5,166.5,-1.7999996
707,-88.5,167.5,-1.7999996
708,-88.5,168.5,-1.7999996
709,-88.5,169.5,-1.7999996
710,-88.5,170.5,-1.7999996
711,-88.5,171.5,-1.7999996
712,-88.5,172.5,-1.7999996
713,-88.5,173.5,-1.7999996
714,-88.5,174.5,-1.7999996
715,-88.5,175.5,-1.7999996
716,-88.5,176.5,-1.7999996
717,-88.5,177.5,-1.7999996
718,-88.5,178.5,-1.7999996
719,-88.5,179.5,-1.7999996
720,-87.5,-179.5,-1.7999996
721,-87.5,-178.5,-1.7999996
722,-87.5,-177.5,-1.7999996
723,-87.5,-176.5,-1.7999996
724,-87.5,-175.5,-1.7999996
725,-87.5,-174.5,-1.7999996
726,-87.5,-173.5,-1.7999996
727,-87.5,-172.5,-1.7999996
728,-87.5,-171.5,-1.7999996
729,-87.5,-170.5,-1.7999996
730,-87.5,-169.5,-1.7999996
731,-87.5,-168.5,-1.7999996
732,-87.5,-167.5,-1.7999996
733,-87.5,-166.5,-1.7999996
734,-87.5,-165.5,-1.7999996
735,-87.5,-164.5,-1.7999996
736,-87.5,-163.5,-1.7999996
737,-87.5,-162.5,-1.7999996
738,-87.5,-161.5,-1.7999996
739,-87.5,-160.5,-1.7999996
740,-87.5,-159.5,-1.7999996
741,-87.5,-158.5,-1.7999996
742,-87.5,-157.5,-1.7999996
743,-87.5,-156.5,-1.7999996
744,-87.5,-155.5,-1.7999996
745,-87.5,-154.5,-1.7999996
746,-87.5,-153.5,-1.7999996
747,-87.5,-152.5,-1.7999996
748,-87.5,-151.5,-1.7999996
749,-87.5,-150.5,-1.7999996
750,-87.5,-149.5,-1.7999996
751,-87.5,-148.5,-1.7999996
